Scenario,Campaign,Start_Year__KP_LAPrEP_Start_Year,End_Year__KP_LAPrEP_End_Year,Start_Year__KP_LAPrEP_AGYW_Start_Year,Start_Year__KP_LAPrEP_Females_Start_Year,Start_Year__KP_LAPrEP_Males_Start_Year,Start_Year__KP_LAPrEP_RandomPop_Start_Year,Start_Year__KP_LAPrEP_HighRisk_Start_Year,Waning_Config__KP_LAPrEP_Waning.Initial_Effect,Waning_Config__KP_OralPrEP_Waning.Initial_Effect,Time_Value_Map__KP_LAPrEP_OtherPops_OnOff.Times,Time_Value_Map__KP_LAPrEP_OtherPops_OnOff.Values,Time_Value_Map__KP_LAPrEP_VOICE_6_OnOff.Times,Time_Value_Map__KP_LAPrEP_VOICE_6_OnOff.Values,Time_Value_Map__KP_LAPrEP_VOICE_4_OnOff.Times,Time_Value_Map__KP_LAPrEP_VOICE_4_OnOff.Values,Time_Value_Map__KP_LAPrEP_VOICE_2_OnOff.Times,Time_Value_Map__KP_LAPrEP_VOICE_2_OnOff.Values,Start_Year__KP_OralPrEP_Continuation_2023Level_StartYear,Start_Year__KP_OralPrEP_Continuation_20222023Ratio_StartYear,Time_Value_Map__KP_OralPrEPContinuationF25to99LM_OnOff.Values,Time_Value_Map__KP_OralPrEPContinuationF15to99H_OnOff.Values,Time_Value_Map__KP_OralPrEPContinuationF15to25LM_OnOff.Values,Time_Value_Map__KP_OralPrEPContinuationM15to99LM_OnOff.Values,Time_Value_Map__KP_OralPrEPContinuationM15to99H_OnOff.Values,Waning_Config__KP_LAPrEP_Waning.Durability_Map.Times,Waning_Config__KP_LAPrEP_Waning.Durability_Map.Values,Start_Year__KP_LAPrEP_2024Switch_StartYear,Time_Value_Map__KP_LAPrEPSwitchF25to99LM_OnOff.Values,Time_Value_Map__KP_LAPrEPSwitchF15to99H_OnOff.Values,Time_Value_Map__KP_LAPrEPSwitchF15to25LM_OnOff.Values,Time_Value_Map__KP_LAPrEPSwitchM15to99LM_OnOff.Values,Time_Value_Map__KP_LAPrEPSwitchM15to99H_OnOff.Values,Waning_Config__KP_LAPrEPSwitch_waning.Durability_Map.Times,Waning_Config__KP_LAPrEP_OtherPops_Waning.Durability_Map.Times
Sens2026VOICE6LAScaleUp2years,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2028,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2026,2028,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2028,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE4LAScaleUp2years,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2028,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2028,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2026,2028,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE2LAScaleUp2years,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2028,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2028,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2028,2046.99,2047]","[0.0,0.50,0.50,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE6LAScaleUp2years,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2032,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2030,2032,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2032,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE4LAScaleUp2years,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2032,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2032,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2030,2032,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE2LAScaleUp2years,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2032,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2032,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2032,2046.99,2047]","[0.0,0.50,0.50,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE6LAScaleUp10years,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2036,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2026,2036,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2036,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE4LAScaleUp10years,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2036,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2036,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2026,2036,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE2LAScaleUp10years,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2036,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2036,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2036,2046.99,2047]","[0.0,0.50,0.50,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE6LAScaleUp10years,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2040,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2030,2040,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2040,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE4LAScaleUp10years,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2040,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2040,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2030,2040,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE2LAScaleUp10years,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2040,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2040,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2040,2046.99,2047]","[0.0,0.50,0.50,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE6FutureOralPrEP,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2031,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]",2099,2024.5,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE4FutureOralPrEP,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]",2099,2024.5,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE2FutureOralPrEP,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.50,0.50,0.0]",2099,2024.5,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE6FutureOralPrEP,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2035,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]",2099,2024.5,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE4FutureOralPrEP,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2035,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]",2099,2024.5,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE2FutureOralPrEP,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2035,2046.99,2047]","[0.0,0.50,0.50,0.0]",2099,2024.5,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE6LADoseDuration3M,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2031,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,90,91]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE4LADoseDuration3M,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,90,91]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE2LADoseDuration3M,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.50,0.50,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,90,91]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE6LADoseDuration3M,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2035,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,90,91]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE4LADoseDuration3M,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2035,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,90,91]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE2LADoseDuration3M,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2035,2046.99,2047]","[0.0,0.50,0.50,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,90,91]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE6LADoseDuration2M,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2031,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,60,61]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE4LADoseDuration2M,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,60,61]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE2LADoseDuration2M,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.50,0.50,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,60,61]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE6LADoseDuration2M,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2035,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,60,61]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE4LADoseDuration2M,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2035,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,60,61]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE2LADoseDuration2M,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2035,2046.99,2047]","[0.0,0.50,0.50,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,60,61]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE6LADoseDuration1M,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2031,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,30,31]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE4LADoseDuration1M,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.99,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,30,31]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
